seed,state_idx,ego_id,neighbor_id,learned_score,oracle_score,learned_signed,learned_direction_row_aipw,oracle_signed,learned_range,oracle_range,oracle_q_nonconstant,oracle_q_distinct_levels,observed_action_probability,policy_support_entropy,valid_action_count,target_policy_l1_to_uniform,q_centered_rmse,q_centered_mae,abs_error,signed_error,capacity_abs_error,direction_abs_error,proxy_sigma,capacity_sigma,direction_sigma,dr_applied,oracle_argmax_action,oracle_argmin_action,learned_argmax_action,learned_argmin_action,oracle_argmax_count,oracle_argmin_count,oracle_extrema_unique,argmax_match,argmin_match,both_extrema_match,oracle_g_plus,oracle_g_minus,oracle_extrema_gap,extrema_gap_zero,q_raw_sup_error,q_gauge_shift_opt,q_gauge_sup_error,q_gauge_sup_error_check,lambda_C,lambda_C_raw,extrema_stability_certified,extrema_stability_violation
3002,0,2,0,0.009774814359843731,0.0,-0.0006645431276410818,-0.0006645431276410818,0.0,0.009774814359843731,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0022579378463555445,0.0017244635789087537,0.009774814359843731,-0.0006645431276410818,0.009774814359843731,0.0006645431276410818,0.002388700842857361,0.0036700170021504164,0.002388700842857361,0,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.008220315910875797,-0.003332908730953932,0.0048874071799218655,0.0048874071799218655,inf,inf,0,0
3002,0,2,1,0.017783837392926216,0.03899999801069498,0.0006230550934560597,0.0006230550934560597,0.020769229522691314,0.017783837392926216,0.03899999801069498,1,4,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.011311014333342782,0.009467124354864746,0.021216160617768764,-0.020146174429235254,0.021216160617768764,0.020146174429235254,0.0024843867868185043,0.007672714535146952,0.0024843867868185043,0,1,11,10,11,3,1,0,0,1,0,0.0,0.008999999612569809,0.0,1,0.02850492252036929,0.013509390177205205,0.014995532343164086,0.014995532343164086,inf,inf,0,0
3002,0,2,3,0.015201713889837265,0.012000000104308128,-0.006386307533830404,-0.006386307533830404,-0.005400000016763807,0.015201713889837265,0.012000000104308128,1,3,0.9076923131942749,0.2094469155167731,13,1.661538461366525,0.0010441495452682046,0.0008289164880059175,0.0032017137855291367,-0.0009863075170665975,0.0032017137855291367,0.0009863075170665975,0.00262609519995749,0.00782693363726139,0.00262609519995749,0,10,11,10,11,1,1,1,1,1,1,0.006000000052154064,0.006000000052154064,0.006000000052154064,0,0.004804789554327726,-0.002929281909018755,0.0018755076453089714,0.0018755076453089714,0.3125846048344023,0.8007982520938072,1,0
3002,0,2,4,0.01794334314763546,0.017999999225139618,0.00025060525513254106,0.00025060525513254106,0.0,0.01794334314763546,0.017999999225139618,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0012114298577792382,0.0009604750391228136,5.665607750415802e-05,0.00025060525513254106,5.665607750415802e-05,0.00025060525513254106,0.00220772298052907,0.006908363196998835,0.00220772298052907,0,10,11,10,11,1,1,1,1,1,1,0.008999999612569809,0.008999999612569809,0.008999999612569809,0,0.006447894498705864,-0.004016685066744685,0.0024312094319611788,0.0024312094319611788,0.2701343929577109,0.7164327529192824,1,0
3002,0,2,5,0.006809333339333534,0.0,0.0015124980127438903,0.0015124980127438903,8.673617379884035e-19,0.006809333339333534,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.001739369359862894,0.0013763882445733575,0.006809333339333534,0.0015124980127438894,0.006809333339333534,0.0015124980127438894,0.0023889332078397274,0.0034689554013311863,0.0023889332078397274,0,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.004413891583681107,-0.0010092250304296613,0.0034046665532514453,0.0034046665532514453,inf,inf,0,0
3002,1,0,1,0.006289707962423563,0.0,-0.0013816417194902897,-0.0013816417194902897,0.0,0.006289707962423563,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0016019378187881756,0.001079671111891207,0.006289707962423563,-0.0013816417194902897,0.006289707962423563,0.0013816417194902897,0.0012429237831383944,0.0040298509411513805,0.0012429237831383944,0,0,0,10,4,13,13,0,1,1,1,0.0,0.0,0.0,1,0.004452915862202644,0.0013080619391985238,0.0031448539230041206,0.0031448539230041206,inf,inf,0,0
3002,1,0,2,0.00593182910233736,0.0,-0.0009862458100542426,-0.0009862458100542426,0.0,0.00593182910233736,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.001395686960109012,0.00103514421993943,0.00593182910233736,-0.0009862458100542426,0.00593182910233736,0.0009862458100542426,0.000631322676781565,0.0024615537840873003,0.000631322676781565,0,0,0,10,4,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0031571269501000643,0.00019121228251606226,0.002965914667584002,0.002965914667584002,inf,inf,0,0
3002,1,0,3,0.004822645802050829,0.0,0.000960943812970072,0.000960943812970072,0.0,0.004822645802050829,0.0,0,1,0.007692308165132999,0.2094469155167731,13,1.661538461366525,0.001386404906189315,0.001095097374064936,0.004822645802050829,0.000960943812970072,0.004822645802050829,0.000960943812970072,0.0018915175460278988,0.00371598731726408,0.0018915175460278988,0,0,0,10,1,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0033625001087784767,0.0009511771495454013,0.0024113229592330754,0.0024113229592330754,inf,inf,0,0
3002,1,0,4,0.005390141624957323,0.0,-0.001814942923374474,-0.001814942923374474,0.0,0.005390141624957323,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0013616580624116856,0.000973839859500391,0.005390141624957323,-0.001814942923374474,0.005390141624957323,0.001814942923374474,0.001497537363320589,0.004266023635864258,0.001497537363320589,0,0,0,10,1,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0038851825520396233,0.0011901117395609617,0.0026950708124786615,0.0026950708124786615,inf,inf,0,0
3002,1,0,5,0.016898855566978455,0.024000000208616257,-0.001452548778615892,-0.001452548778615892,0.0,0.016898855566978455,0.024000000208616257,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.001850723225445712,0.0013452120464206977,0.007101144641637802,-0.001452548778615892,0.007101144641637802,0.001452548778615892,0.001689744065515697,0.004826788790524006,0.001689744065515697,0,10,11,10,11,1,1,1,1,1,1,0.012000000104308128,0.012000000104308128,0.012000000104308128,0,0.0050231534987688065,0.0014224218903109431,0.0036007316084578633,0.0036007316084578633,0.3000609647632555,0.41859612125881906,1,0
3002,1,1,0,0.008512608706951141,0.0,-0.0014513167552649975,-0.0014513167552649975,-3.469446951953614e-18,0.008512608706951141,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0018629724284880316,0.0012294543113493353,0.008512608706951141,-0.001451316755264994,0.008512608706951141,0.001451316755264994,0.0026056633796542883,0.0028122749645262957,0.0026056633796542883,0,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.03058846713975072,0.026332162553444505,0.004256304586306214,0.004256304586306214,inf,inf,0,0
3002,1,1,2,0.016057094559073448,0.01799999736249447,0.00010435737203806639,0.00010435737203806639,-1.289523557379546e-10,0.016057094559073448,0.01799999736249447,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.000820962547268312,0.0006602328248630612,0.0019429028034210205,0.00010435750099042213,0.0019429028034210205,0.00010435750099042213,0.001624042633920908,0.004268753342330456,0.001624042633920908,0,10,11,10,11,1,1,1,1,1,1,0.008999999612569809,0.00899999774992466,0.00899999774992466,0,0.027055551297962666,0.02568937884643674,0.0013661724515259266,0.0013661724515259266,0.15179697700895126,3.006173118008741,1,0
3002,1,1,3,0.013634859584271908,0.011999998241662979,-0.0057230726815760136,-0.0057230726815760136,-0.005399999178573499,0.013634859584271908,0.011999998241662979,1,3,0.007692308165132999,0.2094469155167731,13,1.661538461366525,0.0007023584764836214,0.0005605333159572979,0.0016348613426089287,-0.00032307350300251475,0.0016348613426089287,0.00032307350300251475,0.002011969918385148,0.0031380292493849993,0.002011969918385148,0,10,11,10,11,1,1,1,1,1,1,0.0059999991208314896,0.0059999991208314896,0.0059999991208314896,0,0.027032649843022227,0.025762752047739923,0.0012698977952823043,0.0012698977952823043,0.21164966355967063,4.5054423006775375,1,0
