seed,state_idx,ego_id,neighbor_id,fixed_panel_step_index,fixed_panel_step_hash,fixed_panel_fingerprint,learned_score,oracle_score,learned_signed,learned_direction_row_aipw,oracle_signed,learned_range,oracle_range,oracle_q_nonconstant,oracle_q_distinct_levels,observed_action_probability,policy_support_entropy,valid_action_count,target_policy_l1_to_uniform,q_centered_rmse,q_centered_mae,abs_error,signed_error,capacity_abs_error,direction_abs_error,proxy_sigma,capacity_sigma,direction_sigma,dr_applied,learned_q_range,oracle_q_range_from_surface,capacity_head_q_range_consistency_abs,capacity_q_error_bound,capacity_q_error_bound_violation,direction_head_q_consistency_abs,oracle_direction_q_consistency_abs,oracle_argmax_action,oracle_argmin_action,learned_argmax_action,learned_argmin_action,oracle_argmax_count,oracle_argmin_count,oracle_extrema_unique,argmax_match,argmin_match,both_extrema_match,oracle_g_plus,oracle_g_minus,oracle_extrema_gap,extrema_gap_zero,q_raw_sup_error,q_gauge_shift_opt,q_gauge_sup_error,q_gauge_sup_error_check,lambda_C,lambda_C_raw,extrema_stability_certified,extrema_stability_violation,learned_direction_from_q,oracle_direction_from_q,direction_weight_l1,direction_q_error_bound,direction_sign_margin,lambda_D,direction_sign_match_from_q,direction_sign_certified,direction_sign_violation,oracle_capacity_rank,learned_capacity_rank,oracle_capacity_topk_member,learned_capacity_topk_member,oracle_capacity_margin_to_topk_boundary,checkpoint,experiment_seed
3001,0,2,1,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0175205394625663,0.0419999994337558,0.0008948764880187,0.0008948764880187,0.0020769230167453,0.0175205394625663,0.0419999994337558,1,4,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0085937846019433,0.0044966752121855,0.0244794599711895,-0.0011820465287265,0.0244794599711895,0.0011820465287265,0.0015671824803575,0.0049503459595143,0.0015671824803575,0,0.0175205403938889,0.0419999994337558,9.313225746154783e-10,0.0359038040624,0,2.1485888805974903e-11,8.673617379884035e-19,10,3,10,11,1,1,1,1,0,0,0.0120000001043081,0.0179999992251396,0.0120000001043081,0,0.0308506079600192,0.0128987059288192,0.0179519020312,0.0179519020312,1.4959918229296585,2.570883974321264,0,0,0.0008948764665328,0.0020769230167453,1.6615384505345263,0.0298277754850676,0.0020769230167453,14.361521945965045,1,0,0,1,1,1,1,0.0299999993294477,320,3001
3001,0,2,3,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0066880211234092,0.0,0.0009050740045495,0.0009050740045495,0.0,0.0066880211234092,0.0,0,1,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0016640269814504,0.0013049603147107,0.0066880211234092,0.0009050740045495,0.0066880211234092,0.0009050740045495,0.0014136352110654,0.003596524009481,0.0014136352110654,0,0.0066880210652016,0.0,5.820766091346741e-11,0.0066880210652016,0,5.3231824113583737e-11,0.0,0,0,3,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0059412163682281,-0.0025972058356273,0.0033440105326008,0.0033440105326008,inf,inf,0,0,0.0009050739513177,0.0,1.6615384505345263,0.0055562020789086,0.0,inf,0,0,0,3,4,0,0,0.0419999994337558,320,3001
3001,0,2,4,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0076660686172544,0.0,-0.000557699764613,-0.000557699764613,0.0,0.0076660686172544,0.0,0,1,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0018390545991481,0.0013642435120701,0.0076660686172544,-0.000557699764613,0.0076660686172544,0.000557699764613,0.0011643108446151,0.0030209748074412,0.0011643108446151,0,0.0076660686172544,0.0,0.0,0.0076660686172544,0,8.098745242143822e-11,0.0,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0064603840000927,-0.0026273496914654,0.0038330343086272,0.0038330343086272,inf,inf,0,0,-0.0005576998456005,0.0,1.6615384505345263,0.0063687338860021,0.0,inf,0,0,0,4,3,0,0,0.0419999994337558,320,3001
3001,0,2,5,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0062359245494008,0.0,0.0008396583725698,0.0008396583725698,0.0,0.0062359245494008,0.0,0,1,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0016360510440901,0.0013003317458753,0.0062359245494008,0.0008396583725698,0.0062359245494008,0.0008396583725698,0.0015196008607745,0.0041585727594792,0.0015196008607745,0,0.0062359247240237,0.0,1.7462298274040222e-10,0.0062359247240237,0,1.52982932420144e-10,0.0,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0055277938954532,-0.0024098315334413,0.0031179623620118,0.0031179623620118,inf,inf,0,0,0.0008396582195868,0.0,1.6615384505345263,0.0051806143518022,0.0,inf,0,0,0,5,5,0,0,0.0419999994337558,320,3001
3001,1,0,1,1,faaf5b2b2491f430d901d13224ce6edd113255ed1068759c05f4d457ed9088dc,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0286440979689359,0.0240000039339065,0.0095157418400049,0.0095157418400049,1.3877787807814457e-17,0.0286440979689359,0.0240000039339065,1,3,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0079904420515842,0.0067964871496667,0.0046440940350294,0.0095157418400049,0.0046440940350294,0.0095157418400049,0.0114414487034082,0.020361840724945,0.0114414487034082,0,0.0286440975032746,0.0240000039339065,4.656612873077393e-10,0.0277480171062052,0,9.112864126498144e-10,6.938893903907228e-18,10,11,2,11,1,1,1,0,1,0,0.0120000019669532,0.0120000019669532,0.0120000019669532,0,0.0871688933111727,-0.0732948847580701,0.0138740085531026,0.0138740085531026,1.1561671899146475,7.264073251923336,0,0,0.0095157427512913,6.938893903907228e-18,1.6615384505345263,0.0230521986740248,6.938893903907228e-18,inf,0,0,0,1,1,1,1,0.0,320,3001
3001,1,0,2,1,faaf5b2b2491f430d901d13224ce6edd113255ed1068759c05f4d457ed9088dc,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0282540675252676,0.0240000039339065,0.0056489687412977,0.0056489687412977,0.0,0.0282540675252676,0.0240000039339065,1,3,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0071680577173037,0.0063337406264783,0.004254063591361,0.0056489687412977,0.004254063591361,0.0056489687412977,0.018794048577547,0.024101972579956,0.018794048577547,0,0.0282540675252676,0.0240000039339065,0.0,0.0242590936832129,0,3.888475288288395e-10,0.0,10,11,2,11,1,1,1,0,1,0,0.0120000019669532,0.0120000019669532,0.0120000019669532,0,0.0768646686337888,-0.0647351217921823,0.0121295468416064,0.0121295468416064,1.010795404451597,6.405388002890825,0,0,0.0056489691301452,0.0,1.6615384505345263,0.0201537084648888,0.0,inf,0,0,0,2,2,0,0,0.0,320,3001
3001,1,0,3,1,faaf5b2b2491f430d901d13224ce6edd113255ed1068759c05f4d457ed9088dc,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0200322233140468,0.0,0.0071800067089498,0.0071800067089498,0.0,0.0200322233140468,0.0,0,1,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0066601756522577,0.0058025824579068,0.0200322233140468,0.0071800067089498,0.0200322233140468,0.0071800067089498,0.0122260218486189,0.0203577633947134,0.0122260218486189,0,0.0200322239252273,0.0,6.111804395914078e-10,0.0200322239252273,0,6.058061170766127e-11,6.938893903907228e-18,0,0,4,8,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0822790960373822,-0.0722629840747686,0.0100161119626136,0.0100161119626136,inf,inf,0,0,0.0071800067695304,6.938893903907228e-18,1.6615384505345263,0.0166421551507414,6.938893903907228e-18,inf,0,0,0,3,5,0,0,0.0240000039339065,320,3001
3001,1,0,4,1,faaf5b2b2491f430d901d13224ce6edd113255ed1068759c05f4d457ed9088dc,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0235808528959751,0.0,0.007020151708275,0.007020151708275,0.0,0.0235808528959751,0.0,0,1,0.0076923072338104,0.209446940640395,13,1.661538353333106,0.0076917149080083,0.0068129362791952,0.0235808528959751,0.007020151708275,0.0235808528959751,0.007020151708275,0.0141788059845566,0.0256862118840217,0.0141788059845566,0,0.0235808528959751,0.0,0.0,0.0235808528959751,0,4.552661053702778e-09,6.938893903907228e-18,0,0,7,8,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0585829764604568,-0.0467925500124692,0.0117904264479875,0.0117904264479875,inf,inf,0,0,0.007020147155614,6.938893903907228e-18,1.6615384505345263,0.0195902468915305,6.938893903907228e-18,inf,0,0,0,4,4,0,0,0.0240000039339065,320,3001
3001,1,0,5,1,faaf5b2b2491f430d901d13224ce6edd113255ed1068759c05f4d457ed9088dc,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0236178301274776,0.0,0.0083701787516474,0.0083701787516474,0.0,0.0236178301274776,0.0,0,1,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0075892161454275,0.0069062419279792,0.0236178301274776,0.0083701787516474,0.0236178301274776,0.0083701787516474,0.0131389051675796,0.0260262247174978,0.0131389051675796,0,0.0236178301274776,0.0,0.0,0.0236178301274776,0,1.0478255381418664e-09,6.938893903907228e-18,0,0,4,8,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0637234896421432,-0.0519145745784044,0.0118089150637388,0.0118089150637388,inf,inf,0,0,0.008370179799473,6.938893903907228e-18,1.6615384505345263,0.0196209664374984,6.938893903907228e-18,inf,0,0,0,5,3,0,0,0.0240000039339065,320,3001
3001,1,1,0,1,faaf5b2b2491f430d901d13224ce6edd113255ed1068759c05f4d457ed9088dc,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0160393547266721,0.0120000001043081,0.0005251009133644,0.0005251009133644,0.0016615385294533,0.0160393547266721,0.0120000001043081,1,4,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0011888731294616,0.0009215206401036,0.004039354622364,-0.0011364376160889,0.004039354622364,0.0011364376160889,0.0018125870265066,0.0067084962502121,0.0018125870265066,0,0.0160393550759181,0.0120000001043081,3.4924596548080444e-10,0.0047134743072092,0,5.300330586759106e-10,2.1684043449710093e-19,10,11,10,11,1,1,1,1,1,1,0.0039999999571591,0.006000000052154,0.0039999999571591,0,0.008829933591187,-0.0064731964375823,0.0023567371536046,0.0023567371536046,0.589184294711444,2.20748342143936,0,0,0.0005251003833313,0.0016615385294533,1.6615384505345263,0.0039158093985173,0.0016615385294533,2.3567370416656246,1,0,0,2,2,0,0,0.0120000001043081,320,3001
